City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,59.11,41,0,12.66,CL,1741797952
1,adamstown,-25.066,-130.1015,76.35,61,85,12.1,PN,1741798114
2,flying fish cove,-10.4217,105.6791,78.48,94,100,5.75,CX,1741798115
3,grytviken,-54.2811,-36.5092,33.84,76,65,15.08,GS,1741798116
4,nampa,43.5407,-116.5635,48.79,53,100,5.75,US,1741797863
5,port mathurin,-19.6833,63.4167,80.94,76,3,14.88,MU,1741798118
6,toliara,-23.35,43.6667,79.43,78,100,7.16,MG,1741798119
7,kodiak,57.79,-152.4072,24.31,86,0,5.75,US,1741798120
8,bethel,41.3712,-73.414,51.73,37,47,4.0,US,1741798204
9,yuzhno-kurilsk,44.0306,145.8556,31.77,91,82,6.64,RU,1741798205
10,bamboo flat,11.7,92.7167,82.49,74,20,2.3,IN,1741798206
11,lebu,-37.6167,-73.65,65.05,59,7,14.12,CL,1741798207
12,alice springs,-23.7,133.8833,85.55,25,4,8.05,AU,1741798209
13,byron bay,-28.65,153.6167,70.21,86,100,1.66,AU,1741798210
14,peniche,39.3558,-9.3811,57.11,93,100,13.29,PT,1741798212
15,jambi city,-1.6,103.6167,75.92,96,100,1.99,ID,1741798213
16,fale old settlement,-9.3852,-171.2468,82.65,76,32,10.78,TK,1741798214
17,blackmans bay,-43.0167,147.3167,57.52,95,9,1.01,AU,1741798215
18,puerto natales,-51.7236,-72.4875,55.85,54,75,3.44,CL,1741798216
19,lihue,21.9789,-159.3672,71.19,78,40,20.71,US,1741798217
20,goulburn,-34.75,149.7167,59.25,92,0,2.57,AU,1741798218
21,strezhevoy,60.7333,77.5889,17.44,84,100,16.35,RU,1741798219
22,papatowai,-46.5619,169.4708,44.96,87,17,3.42,NZ,1741798220
23,ushuaia,-54.8,-68.3,47.86,76,75,5.75,AR,1741798222
24,fort irwin,35.2627,-116.6848,49.53,71,0,0.0,US,1741798223
25,nova sintra,14.8667,-24.7167,70.16,79,3,18.41,CV,1741798224
26,weno,7.4515,151.8468,80.55,78,100,5.75,FM,1741798225
27,carandai,-20.9536,-43.8064,83.05,49,34,4.16,BR,1741797993
28,popondetta,-8.7537,148.2534,74.28,96,100,2.51,PG,1741798227
29,invercargill,-46.4,168.35,43.02,93,12,3.4,NZ,1741798229
30,saudarkrokur,65.7461,-19.6394,33.51,86,11,8.34,IS,1741798230
31,saldanha,-33.0117,17.9442,82.45,83,15,18.75,ZA,1741797968
32,hammerfest,70.6634,23.6821,21.65,73,0,3.44,NO,1741798232
33,vadso,70.0744,29.7487,23.16,86,40,6.91,NO,1741798233
34,blythe,33.6103,-114.5964,57.65,82,0,3.44,US,1741798234
35,thompson,55.7435,-97.8558,-0.24,55,75,3.44,CA,1741798235
36,enewetak,11.3474,162.3373,80.04,80,18,20.47,MH,1741798236
37,waitangi,-43.9535,-176.5597,58.19,81,6,12.95,NZ,1741798237
38,yellowknife,62.456,-114.3525,-3.44,71,75,10.36,CA,1741798207
39,sombrerete,23.6333,-103.65,65.93,17,0,15.57,MX,1741798240
40,selfoss,63.9331,-20.9971,38.05,80,90,9.22,IS,1741798241
41,karkira,36.9292,6.5856,59.36,78,31,12.8,DZ,1741798242
42,vera cruz,-12.6333,-41.0333,95.38,24,52,6.42,BR,1741798243
43,mount isa,-20.7333,139.5,76.77,73,67,0.0,AU,1741798244
44,vorgashor,67.5833,63.95,12.65,93,100,14.05,RU,1741798245
45,san luis de la loma,17.2706,-100.8939,85.28,47,5,7.47,MX,1741798246
46,hawaiian paradise park,19.5933,-154.9731,67.73,96,61,10.54,US,1741798247
47,bilibino,68.0546,166.4372,-21.87,84,66,3.51,RU,1741798248
48,brookings,44.3114,-96.7984,51.46,63,20,0.0,US,1741798249
49,deoria,26.5047,83.7872,77.0,21,0,7.29,IN,1741798251
50,afaahiti,-17.75,-149.2833,79.41,81,75,16.33,PF,1741798252
51,sao vicente,-23.9631,-46.3919,83.98,26,40,6.91,BR,1741798253
52,tazovsky,67.4667,78.7,12.9,92,100,26.44,RU,1741798254
53,cidreira,-30.1811,-50.2056,74.32,71,77,9.01,BR,1741798255
54,tutoia,-2.7619,-42.2744,80.26,88,78,9.1,BR,1741798256
55,ancud,-41.8697,-73.8203,62.55,52,78,4.03,CL,1741798258
56,bayganin,48.6947,55.8742,33.15,87,100,10.89,KZ,1741798259
57,smithers,54.7804,-127.1743,19.72,93,75,0.0,CA,1741798260
58,moratuwa,6.773,79.8816,79.9,81,84,3.85,LK,1741798261
59,sefrou,33.8319,-4.828,52.75,100,75,8.05,MA,1741798262
60,bei'an,46.4398,126.2373,23.25,79,100,18.61,CN,1741798263
61,newton,42.337,-71.2092,47.91,26,0,14.97,US,1741798034
62,rio segundo,-31.6526,-63.9099,53.96,96,100,6.8,AR,1741798265
63,dalmau,26.0667,81.0333,79.66,19,23,7.65,IN,1741798266
64,wailua homesteads,22.0669,-159.378,70.59,90,40,20.71,US,1741798267
65,margaret river,-33.95,115.0667,65.1,86,100,5.93,AU,1741798268
66,bathsheba,13.2167,-59.5167,86.61,62,40,17.27,BB,1741798269
67,tiksi,71.6872,128.8694,-20.36,99,93,6.76,RU,1741797984
68,priargunsk,50.3691,119.1012,-9.92,95,84,4.76,RU,1741798272
69,swift current,50.2834,-107.8014,36.41,69,0,4.61,CA,1741798273
70,jamestown,42.097,-79.2353,44.02,28,0,9.22,US,1741798274
71,college,64.8569,-147.8028,-11.22,70,20,3.44,US,1741798275
72,luderitz,-26.6481,15.1594,68.77,73,3,9.22,NA,1741798276
73,port-aux-francais,-49.35,70.2167,46.38,97,100,29.37,TF,1741798277
74,erdenet,49.0333,104.0833,10.08,92,15,2.91,MN,1741798278
75,lata,40.1629,-8.3327,56.48,64,100,2.48,PT,1741798279
76,launceston,-41.45,147.1667,62.24,94,75,6.91,AU,1741798280
77,edinburgh of the seven seas,-37.0676,-12.3116,66.33,97,87,10.31,SH,1741798281
78,vila velha,-20.3297,-40.2925,89.55,58,40,16.11,BR,1741798282
79,mincivan,39.0294,46.7185,60.03,41,0,3.56,AZ,1741798283
80,porto novo,6.4965,2.6036,89.42,73,100,9.8,BJ,1741798284
81,korla,41.7597,86.1469,45.45,27,0,13.69,CN,1741798285
82,chauk,20.8833,94.8167,81.09,44,0,8.68,MM,1741798286
83,st. john's,47.5649,-52.7093,43.29,54,20,20.71,CA,1741798262
84,ribeira grande,38.5167,-28.7,57.6,62,40,25.32,PT,1741798289
85,saint-philippe,-21.3585,55.7679,79.2,79,60,2.98,RE,1741798290
86,bikenibeu village,1.3673,173.1241,80.56,89,20,12.66,KI,1741798291
87,puerto ayora,-0.7393,-90.3518,82.54,92,23,7.0,EC,1741798292
88,akureyri,65.6835,-18.0878,42.73,61,0,11.5,IS,1741798293
89,keflavik,64.0049,-22.5624,41.43,81,100,13.8,IS,1741798294
90,bubaque,11.2833,-15.8333,74.75,74,97,19.22,GW,1741798295
91,sola,-13.8833,167.55,79.93,78,100,3.31,VU,1741798296
92,rongelap,11.1635,166.8941,80.49,77,17,20.74,MH,1741798298
93,west island,-12.1568,96.8225,82.38,78,40,13.8,CC,1741798299
94,kirawsk,53.2686,29.4736,48.78,68,50,6.42,BY,1741798300
95,bowen,-20.0167,148.2333,75.92,83,53,10.76,AU,1741798301
96,chonchi,-42.6128,-73.8092,69.64,36,89,2.68,CL,1741798302
97,kaoma,-14.7833,24.8,69.12,89,100,3.49,ZM,1741798303
98,sabang,5.8933,95.3214,83.98,76,100,11.25,ID,1741798304
99,itaituba,-4.2761,-55.9836,82.56,89,75,9.22,BR,1741798306
100,port shepstone,-30.7414,30.455,75.0,81,73,13.24,ZA,1741798307
101,jinchang,38.4953,102.1739,40.46,25,51,6.02,CN,1741798308
102,huanggang,23.677,116.9996,67.98,94,26,2.04,CN,1741798309
103,iqaluit,63.7506,-68.5145,-2.31,64,75,18.99,CA,1741798310
104,ilha de mocambique,-15.0342,40.7358,81.01,86,99,15.39,MZ,1741798311
105,isafjordur,66.0755,-23.124,41.04,65,0,6.91,IS,1741798313
106,albany,42.6001,-73.9662,39.45,40,97,1.99,US,1741798314
107,badger,64.8,-147.5333,-11.29,70,20,3.44,US,1741798315
108,hermanus,-34.4187,19.2345,74.8,67,0,17.27,ZA,1741798316
109,jayapura,-2.5333,140.7,78.19,91,100,2.17,ID,1741798317
110,port lincoln,-34.7333,135.8667,64.29,87,5,10.92,AU,1741798318
111,olonkinbyen,70.9221,-8.7187,21.4,74,100,19.95,SJ,1741798319
112,challapata,-18.9,-66.7667,55.8,56,100,6.6,BO,1741798320
113,altai,46.3722,96.2583,10.85,95,100,4.34,MN,1741798321
114,ilhabela,-23.7781,-45.3581,80.85,77,33,4.94,BR,1741798322
115,nemuro,43.3236,145.575,33.82,91,97,10.04,JP,1741798323
116,canutama,-6.5339,-64.3831,75.58,94,100,2.37,BR,1741798324
117,saipan,15.1355,145.701,75.9,93,100,13.8,MP,1741798325
118,kapa'a,22.0752,-159.319,71.92,90,40,20.71,US,1741798326
119,bel ombre,-4.6167,55.4167,82.24,83,75,5.75,SC,1741798328
120,susuman,62.7833,148.1667,-28.68,100,100,1.95,RU,1741798329
121,xinglongshan,43.9561,125.4661,29.95,86,75,4.47,CN,1741798330
122,kingston,17.997,-76.7936,90.16,70,20,9.22,JM,1741798320
123,tommot,58.9564,126.2925,-24.63,100,95,1.03,RU,1741798332
124,oban,56.4127,-5.4706,42.35,59,90,9.15,GB,1741798333
125,choma,-16.8065,26.9531,64.78,96,96,4.9,ZM,1741798334
126,nieuw amsterdam,5.8833,-55.0833,77.02,88,40,0.0,SR,1741798335
127,karratha,-20.7377,116.8463,84.33,68,100,7.83,AU,1741798337
128,tateyama,34.9833,139.8667,58.93,94,75,3.44,JP,1741798338
129,las lomitas,-24.7096,-60.593,87.6,53,75,2.28,AR,1741798143
